COMPANY,CONTACT,EMAIL
10up,"To whom it may concern,",pr@10up.com
Arkency,"To whom it may concern,",dev@arkency.com
Articulate,"To whom it may concern,",sales@articulate.com
Automattic,"To whom it may concern,",jobs@automattic.com
Edgar,"To whom it may concern,",support@meetedgar.com
Fire Engine Red,"To whom it may concern,",info@fire-engine-red.com
Genuitec,"To whom it may concern,",employment@genuitec.com
GitLab,"To whom it may concern,",jobs@gitlab.com
Groove,"Dear Alex,",alex@groovehq.com
Hubstaff,"To whom it may concern,",support@hubstaff.com
HowToGeek,"To whom it may concern,",contact@howtogeek.com
Doist,"To whom it may concern,",contact@doist.com
Toggl,"To whom it may concern,",support@toggl.com
Toptal,"To whom it may concern,",join@toptal.com
Harvest,"To whom it may concern,",support@harvest.com
